cl,Agri/Fishery,Armed forces,Clerks,Craft/Trades,Elementary,Managers,Operators,Professionals,Sales,Service
0,4.6326038948002415,0.2660108411965469,27.047781569965874,4.296326038948002,6.620156595061233,0.5470788998193133,5.330254968881751,19.37863882754467,18.936960449708895,12.94418791407348
1,2.457411396122968,0.039161934599569216,8.145682396710399,5.374975523790875,8.821225768552967,0.19580967299784607,4.523203446250245,13.941648717446641,24.358723320932054,32.14215782259643
2,9.00781120159548,0.3656307129798903,15.26508226691042,14.085092238657138,11.658633870699685,0.6232341698520857,13.062988200099717,10.345687219544624,11.533987036729267,14.051853082931693
3,4.09626216077829,0.2048131080389145,12.442396313364055,23.963133640552993,11.469534050179211,0.5632360471070148,15.309779825908858,9.421402969790067,10.39426523297491,12.135176651305683
